VAR,X,Y,Z,TOTAL,HALO
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.48672,0.632258
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.36558,0.610265
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.40417,0.609246
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.05084,0.520007
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.18564,0.568523
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.13673,0.543597
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.15337,0.565547
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.2918,0.56857
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.38791,0.586588
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.80802,0.626217
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.96448,0.638798
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,4.00119,0.669374
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.94773,0.655338
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.76763,0.541754
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,4.01944,0.664565
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.61014,0.623828
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.2482,0.554233
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.63238,0.558419
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.67563,0.587446
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.63926,0.570703
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.64598,0.558022
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.65698,0.573104
diffusion-0-0-0-1-1-1-2-2-3-4-4-4-4-4-4-4-my,64,64,60,3.64186,0.564487
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.84693,0.483936
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.55555,0.428092
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.81935,0.475781
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.88008,0.505443
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.87329,0.498555
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.91404,0.515452
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,3.13692,0.583845
diffusion-0-0-0-0-0-1-1-1-1-2-2-2-2-2-2-3-pz,64,64,60,2.88218,0.538033
